Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YOL020W,TAT2,SAB2,854139
YOL020W,TAT2,SCM2,854139
YOL020W,TAT2,TAP2,854139
YER038C,KRE29,NSE6,856760
YKR038C,KAE1,,853910
YKR048C,NAP1,,853922
YLR264W,RPS28B,RPS33B,850969
YIL068C,SEC6,,854742
YPR072W,NOT5,,856186
YJL006C,CTK2,,853450
YKL096W-A,CWP2,LPR1,853765
YKL096W-A,CWP2,YKL097W-A,853765
tD(GUC)D,,,
YCR097W-A,,,
YGR161C,RTS3,,853065
YIL065C,FIS1,MDV2,854745
YBR060C,ORC2,RRR1,852352
YBR060C,ORC2,SIR5,852352
YFR036W,CDC26,HIT3,850597
YFR036W,CDC26,SCD26,850597
YKL014C,URB1,NPA1,853855
YOL053W,AIM39,,854103
YDR275W,BSC2,,851868
YJR150C,DAN1,CCW13,853615
YPR067W,ISA2,,856180
YCR025C,,,
YPL175W,SPT14,CWH6,855928
YPL175W,SPT14,GPI3,855928
YIL098C,FMC1,,854709
YLR164W,SHH4,,850861
YHL047C,ARN2,TAF1,856338
tK(CUU)C,,,
YIL141W,,,
YHR175W-A,,,1466530
YLR079W,SIC1,SDB25,850768
YCR069W,CPR4,CYP4,850433
YCR069W,CPR4,SCC3,850433
YCR069W,CPR4,YCR070W,850433
YOL117W,RRI2,CSN10,854032
YHR003C,TCD1,,856392
YLR103C,CDC45,SLD4,850793
YCR041W,,,850408
YDR043C,NRG1,,851613
YLR170C,APS1,YAP19,850868
YNL026W,SAM50,OMP85,855705
YNL026W,SAM50,TOB55,855705
YLR228C,ECM22,,850928
YPL088W,,,856017
YNL067W,RPL9B,,855658
YFR006W,,,850556
YLL036C,PRP19,PSO4,850623
YJR098C,,,853561
YJL103C,GSM1,,853341
YLR467C-A,,,
YDR129C,SAC6,ABP67,851707
YIL009W,FAA3,,854808
YJL156C,SSY5,,853285
YBR180W,DTR1,,852478
YBL034C,STU1,,852246
YDR136C,VPS61,,
YKR082W,NUP133,RAT3,853957
YHL032C,GUT1,,856353
YHR154W,RTT107,ESC4,856559
YNL205C,,,
YNL104C,LEU4,,855619
YDL066W,IDP1,,851493
tW(CCA)G1,,,
YOR038C,HIR2,SPT1,854203
YGR274C,TAF1,TAF130,853191
YGR274C,TAF1,TAF145,853191
YBR212W,NGR1,RBP1,852513
YOR303W,CPA1,,854479
YDR302W,GPI11,,851896
YIR021W-A,,,1466495
YOR137C,SIA1,,854305
YCR102W-A,,,
YLR198C,,,
YOL034W,SMC5,,854123
YOR052C,,YOR29-03,854217
YAL056C-A,YAL056C-A,,
YDR239C,,,851825
YDR539W,FDC1,,852152
tL(CAA)A,SUP56,,
YBR071W,,,852363
tK(CUU)D1,,,
YDL125C,HNT1,,851432
snR61,SNR61,,
YPL125W,KAP120,,855978
YPL090C,RPS6A,LPG18,856015
YPL090C,RPS6A,RPS101,856015
YPL090C,RPS6A,RPS102,856015
YPL090C,RPS6A,LPG18,852479
YPL090C,RPS6A,RPS101,852479
YPL090C,RPS6A,RPS102,852479
YPR120C,CLB5,,856237
YLR411W,CTR3,,851129
YMR260C,TIF11,,855302
YBL074C,AAR2,,852205
YBL107C,MIX23,,852167
tR(ACG)Q2,,,
YBR097W,VPS15,GRD8,852394
YBR097W,VPS15,VAC4,852394
YBR097W,VPS15,VPL19,852394
YBR097W,VPS15,VPS40,852394
