Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000177666,iPLA2zeta,PNPLA2,57104
ENSG00000177666,TTS-2.2,PNPLA2,57104
ENSG00000285673,,AC007092.1,
ENSG00000280941,IGLV(I)-38,IGLVI-38,
ENSG00000271955,,AC007100.1,
ENSG00000281471,,IGLV5-37,
ENSG00000233891,,AC007179.2,
ENSG00000273993,R-PTP-kappa,PTPRK,5796
ENSG00000235472,,EIF4A1P7,
ENSG00000246528,,AC079089.1,
ENSG00000240240,,BX664727.3,
ENSG00000235924,,ZNRF2P3,
ENSG00000279201,,AC073263.3,
ENSG00000279070,,AC073263.2,
ENSG00000182022,BRAG,CHST15,51363
ENSG00000182022,GALNAC4S-6ST,CHST15,51363
ENSG00000182022,KIAA0598,CHST15,51363
ENSG00000165480,C13orf3,SKA3,221150
ENSG00000165480,MGC4832,SKA3,221150
ENSG00000165480,RAMA1,SKA3,221150
ENSG00000148053,TRKB,NTRK2,4915
ENSG00000278606,103AS,KIR2DL4,3805
ENSG00000278606,15.212,KIR2DL4,3805
ENSG00000278606,CD158D,KIR2DL4,3805
ENSG00000155561,C7orf14,NUP205,23165
ENSG00000155561,KIAA0225,NUP205,23165
ENSG00000163794,UI,UCN,7349
ENSG00000163794,UROC,UCN,7349
ENSG00000231390,,SNX18P8,
ENSG00000183148,ANKRD20A2,ANKRD20A2P,441430
ENSG00000261305,,AC005586.2,
ENSG00000138100,MURF,TRIM54,57159
ENSG00000138100,MURF-3,TRIM54,57159
ENSG00000138100,RNF30,TRIM54,57159
ENSG00000106526,ARP11,ACTR3C,653857
ENSG00000280365,,AC021766.1,
ENSG00000270447,,AC007179.3,
ENSG00000231815,,AC007179.1,
ENSG00000011009,APT-2,LYPLA2,11313
ENSG00000271159,,HINT1P2,
ENSG00000104611,FLJ20967,SH2D4A,63898
ENSG00000104611,PPP1R38,SH2D4A,63898
ENSG00000104611,SH2A,SH2D4A,63898
ENSG00000285611,,AC007132.1,
ENSG00000233723,AC007092.1,LINC01122,
ENSG00000233723,FLJ30838,LINC01122,
ENSG00000158528,FLJ20068,PPP1R9A,55607
ENSG00000158528,KIAA1222,PPP1R9A,55607
ENSG00000158528,Neurabin-I,PPP1R9A,55607
ENSG00000106538,HP10433,RARRES2,5919
ENSG00000106538,TIG2,RARRES2,5919
ENSG00000137101,CD72b,CD72,971
ENSG00000137101,LYB2,CD72,971
ENSG00000275885,hPrp31,PRPF31,26121
ENSG00000275885,NY-BR-99,PRPF31,26121
ENSG00000275885,PRP31,PRPF31,26121
ENSG00000275885,RP11,PRPF31,26121
ENSG00000275885,SNRNP61,PRPF31,26121
ENSG00000230154,,AIDAP1,
ENSG00000255289,,AC068389.2,
ENSG00000069424,AKR6A5,KCNAB2,8514
ENSG00000069424,HKvbeta2.1,KCNAB2,8514
ENSG00000069424,HKvbeta2.2,KCNAB2,8514
ENSG00000069424,KCNA2B,KCNAB2,8514
ENSG00000186442,CK3,KRT3,3850
ENSG00000186442,K3,KRT3,3850
ENSG00000234812,,BX664727.2,
ENSG00000145287,C15,PLAC8,51316
ENSG00000145287,onzin,PLAC8,51316
ENSG00000277833,47.11,KIR2DL1,3802
ENSG00000277833,CD158A,KIR2DL1,3802
ENSG00000277833,cl-42,KIR2DL1,3802
ENSG00000277833,nkat1,KIR2DL1,3802
ENSG00000277833,p58.1,KIR2DL1,3802
ENSG00000259031,,AL845552.2,
ENSG00000183092,KIAA1446,BEGAIN,57596
ENSG00000173141,MRP63,MRPL57,78988
ENSG00000066336,OF,SPI1,6688
ENSG00000066336,PU.1,SPI1,6688
ENSG00000066336,SFPI1,SPI1,6688
ENSG00000066336,SPI-1,SPI1,6688
ENSG00000066336,SPI-A,SPI1,6688
ENSG00000170477,CK4,KRT4,3851
ENSG00000170477,CYK4,KRT4,3851
ENSG00000170477,K4,KRT4,3851
ENSG00000188707,C7orf29,ZBED6CL,113763
ENSG00000255108,,AP006621.1,
ENSG00000127399,FLJ31392,LRRC61,65999
ENSG00000127399,HSPC295,LRRC61,65999
ENSG00000127399,MGC3036,LRRC61,65999
ENSG00000258482,TCRAV15S1,TRAV15,
ENSG00000258557,,AC245505.1,
ENSG00000211794,TCRAV12S3,TRAV12-3,
ENSG00000211794,TCRAV2S2,TRAV12-3,
ENSG00000211794,TRAV123,TRAV12-3,
ENSG00000211795,,TRAV8-6,
ENSG00000211796,TCRAV16S1,TRAV16,
ENSG00000211796,TCRAV9S1,TRAV16,
ENSG00000235868,,GAPDHP31,
ENSG00000211797,TCRAV17S1,TRAV17,
ENSG00000211797,TCRAV3S1,TRAV17,
ENSG00000256331,MKI67IPP3,NIFKP3,
ENSG00000211798,TCRAV18S1,TRAV18,
ENSG00000211799,TCRAV12S1,TRAV19,
ENSG00000211799,TCRAV19S1,TRAV19,
ENSG00000095209,bA219P18.1,TMEM38B,55151
ENSG00000095209,C9orf87,TMEM38B,55151
ENSG00000095209,D4Ertd89e,TMEM38B,55151
ENSG00000095209,FLJ10493,TMEM38B,55151
ENSG00000095209,TRIC-B,TMEM38B,55151
ENSG00000258705,,AC245505.2,
ENSG00000173914,MGC10871,RBM4B,83759
ENSG00000173914,RBM30,RBM4B,83759
ENSG00000173914,RBM4L,RBM4B,83759
ENSG00000173914,ZCCHC15,RBM4B,83759
ENSG00000173914,ZCCHC21B,RBM4B,83759
ENSG00000173914,ZCRB3B,RBM4B,83759
ENSG00000277310,,AC090246.1,
ENSG00000172361,CCDC11,CFAP53,220136
ENSG00000172361,FLJ32743,CFAP53,220136
ENSG00000211800,,TRAV20,
ENSG00000211801,,TRAV21,
ENSG00000276428,,AC245505.3,
ENSG00000286725,,AC018706.1,
ENSG00000229687,,AL049745.2,
ENSG00000211802,TCRAV13S1,TRAV22,
ENSG00000211802,TCRAV22S1,TRAV22,
ENSG00000260920,,AL031985.3,
ENSG00000229466,,LINC02627,
ENSG00000270933,,AC010719.1,
ENSG00000279667,,AL603839.4,
ENSG00000211803,TCRAV17S1,TRAV23DV6,
ENSG00000211803,TRAV23/DV6,TRAV23DV6,
ENSG00000287732,,AL731574.1,
ENSG00000286609,,AL589166.1,
ENSG00000274402,CD158B2,KIR2DL3,3804
ENSG00000274402,cl-6,KIR2DL3,3804
ENSG00000274402,nkat2,KIR2DL3,3804
ENSG00000274402,nkat2a,KIR2DL3,3804
ENSG00000274402,nkat2b,KIR2DL3,3804
ENSG00000274402,p58,KIR2DL3,3804
ENSG00000124251,C20orf10,TP53TG5,27296
ENSG00000124251,CLG01,TP53TG5,27296
ENSG00000124251,dJ453C12.5,TP53TG5,27296
ENSG00000229775,,LINC02624,
ENSG00000227527,,AC096540.1,
ENSG00000223730,,Z83838.1,
ENSG00000198815,KIAA1041,FOXJ3,22887
ENSG00000253777,,AC026616.1,
ENSG00000253341,,AC115837.1,
ENSG00000235316,,DUSP8P5,
ENSG00000254349,,MIR2052HG,
ENSG00000279239,,AL391099.1,
ENSG00000275486,AMB11,KIR3DL1,3811
ENSG00000275486,CD158E1,KIR3DL1,3811
ENSG00000275486,CD158e1/2,KIR3DL1,3811
